Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size (sq. ft.),Price_per_sqft,PropertyType_Furnishing,Furnishing_Fully Furnished,Furnishing_Partly Furnished,Furnishing_Unfurnished
"KLCC, Kuala Lumpur",1250000.0,3,3,2,1,1335.0,6.8430349685378715,8694,1,0,0
"Dutamas, Kuala Lumpur",1030000.0,3,4,2,1,1875.0,6.310524155252018,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,1,1513.0,6.389980028143607,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",5350000.0,6,5,4,4,7200.0,6.612115703490957,843,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",2600000.0,5,4,4,3,3600.0,6.583716536236168,2861,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1950000.0,5,4,3,3,25.0,11.264476926102367,2861,0,1,0
"Sri Petaling, Kuala Lumpur",385000.0,3,2,1,0,904.0,6.056514552459445,627,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",4580000.0,7,5,5,4,6000.0,6.639003994189795,843,0,1,0
"Bukit Tunku (Kenny Hills), Kuala Lumpur",9000000.0,7,7,4,4,8500.0,6.965857691559484,843,0,1,0
"Mont Kiara, Kuala Lumpur",1780000.0,5,4,2,1,1830.0,6.881080238197974,12911,0,1,0
"Mont Kiara, Kuala Lumpur",3450000.0,5,6,3,1,3720.0,6.833483521704205,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1500000.0,5,4,2,1,1798.0,6.727743399880217,12911,0,1,0
"Damansara Heights, Kuala Lumpur",1550000.0,1,1,1,1,904.0,7.447519184299633,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1500000.0,4,4,3,1,2163.0,6.543165201435781,8694,1,0,0
"Bangsar South, Kuala Lumpur",490000.0,1,1,1,1,520.0,6.849392520300489,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",610000.0,4,2,2,1,1236.0,6.203602777605804,12911,0,1,0
"Dutamas, Kuala Lumpur",1035880.0,4,4,1,1,1876.0,6.315674118071741,12911,0,1,0
"Ampang Hilir, Kuala Lumpur",3300000.0,5,4,4,1,3536.0,6.8397525441680855,2538,0,0,1
"Ampang Hilir, Kuala Lumpur",460000.0,1,1,1,1,613.0,6.621948554089799,8694,1,0,0
"KLCC, Kuala Lumpur",2400000.0,2,2,1,1,1006.0,7.77766102349935,8694,1,0,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1438000.0,5,4,3,1,2378.0,6.4064010598543595,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1720000.0,5,6,3,1,2020.0,6.748155787908974,12911,0,1,0
"KLCC, Kuala Lumpur",4280000.0,4,4,2,1,2195.0,7.576038961053142,8694,1,0,0
"KLCC, Kuala Lumpur",2300000.0,1,2,1,1,1023.0,7.718369598669984,12911,0,1,0
"Damansara Heights, Kuala Lumpur",4200000.0,6,5,5,4,5274.0,6.681305642876286,843,0,1,0
"Sungai Besi, Kuala Lumpur",900000.0,6,5,3,3,20.0,10.714439990727769,533,1,0,0
"KLCC, Kuala Lumpur",2700000.0,4,4,3,1,3095.0,6.772364785656203,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1080000.0,2,2,1,1,896.0,7.095360471802663,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1150000.0,3,2,2,1,1200.0,6.866238598779203,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",1070000.0,5,4,4,1,1772.0,6.4049597802596985,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",930000.0,4,3,2,1,1513.0,6.422715711123011,12911,0,1,0
"Bangsar South, Kuala Lumpur",780000.0,2,2,1,1,880.0,6.788254860376594,12911,0,1,0
"KLCC, Kuala Lumpur",4098000.0,4,3,2,1,2066.0,7.5931439794263635,12911,0,1,0
"KL City, Kuala Lumpur",1800000.0,2,2,1,1,1244.0,7.2779008219710715,8694,1,0,0
"Mont Kiara, Kuala Lumpur",2300000.0,5,5,2,1,2702.0,6.74784625547081,12911,0,1,0
"KLCC, Kuala Lumpur",4000000.0,4,3,2,1,2250.0,7.483681765741875,8694,1,0,0
"Ampang Hilir, Kuala Lumpur",4800000.0,5,6,3,1,4300.0,7.018651606510598,12911,0,1,0
"Ampang Hilir, Kuala Lumpur",3780000.0,5,5,4,1,3628.0,6.949757084418189,12911,0,1,0
"Bangsar South, Kuala Lumpur",850000.0,3,2,1,1,1050.0,6.69768071708455,8694,1,0,0
"KLCC, Kuala Lumpur",1698800.0,2,2,1,1,1227.0,7.233827246542351,8694,1,0,0
"Sungai Besi, Kuala Lumpur",999000.0,5,4,2,3,2512.0,5.988186888455096,2861,0,1,0
"KL Sentral, Kuala Lumpur",3500000.0,1,1,1,1,1648.0,7.6614265623146425,12911,0,1,0
"KLCC, Kuala Lumpur",1500000.0,2,2,1,1,1022.0,7.292139996639941,8694,1,0,0
"KLCC, Kuala Lumpur",2300000.0,1,2,1,1,1023.0,7.718369598669984,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1830000.0,4,4,2,1,1830.0,6.90875477931522,12911,0,1,0
"Taman Melawati, Kuala Lumpur",750000.0,4,3,3,3,24.0,10.349806654652559,2861,0,1,0
"Setapak, Kuala Lumpur",580000.0,5,2,2,1,1550.0,5.927442021853892,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2180000.0,5,4,3,1,3000.0,6.5898430678818345,12911,0,1,0
"KLCC, Kuala Lumpur",2030000.0,4,5,2,1,2356.0,6.75998572441425,8694,1,0,0
"Mont Kiara, Kuala Lumpur",3450000.0,5,6,3,1,3720.0,6.833483521704205,8694,1,0,0
