Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur",1250000.0,3,3,2,Condominium,"Built-up : 1,335 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur",1030000.0,3,4,2,Condominium,"Built-up : 1,875 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",5350000.0,6,5,4,Luxury,Land area : 7200 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",2600000.0,5,4,4,Landed,Land area : 3600 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1950000.0,5,4,3,Landed,Land area : 25x75 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur",385000.0,3,2,1,Apartment,Built-up : 904 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",4580000.0,7,5,5,Luxury,Land area : 6000 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur",9000000.0,7,7,4,Luxury,Land area : 8500 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1780000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",3450000.0,5,6,3,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",1500000.0,5,4,2,Condominium,"Built-up : 1,798 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",1550000.0,1,1,1,Condominium,Built-up : 904 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1500000.0,4,4,3,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur",490000.0,1,1,1,Condominium,Built-up : 520 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",610000.0,4,2,2,Condominium,"Built-up : 1,236 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur",1035880.0,4,4,1,Condominium,"Built-up : 1,876 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur",3300000.0,5,4,4,Condominium,"Built-up : 3,536 sq. ft.",Unfurnished
"Ampang Hilir, Kuala Lumpur",460000.0,1,1,1,Condominium,Built-up : 613 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",2400000.0,2,2,1,Condominium,"Built-up : 1,006 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1438000.0,5,4,3,Condominium,"Built-up : 2,378 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1720000.0,5,6,3,Condominium,"Built-up : 2,020 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",4280000.0,4,4,2,Condominium,"Built-up : 2,195 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2300000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",4200000.0,6,5,5,Luxury,Land area : 5274 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur",900000.0,6,5,3,Landed,Land area : 20 X 80 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",2700000.0,4,4,3,Condominium,"Built-up : 3,095 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1080000.0,2,2,1,Condominium,Built-up : 896 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1150000.0,3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1070000.0,5,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",930000.0,4,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",780000.0,2,2,1,Condominium,Built-up : 880 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",4098000.0,4,3,2,Condominium,"Built-up : 2,066 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",1800000.0,2,2,1,Condominium,"Built-up : 1,244 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2300000.0,5,5,2,Condominium,"Built-up : 2,702 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",4000000.0,4,3,2,Condominium,"Built-up : 2,250 sq. ft.",Fully Furnished
"Ampang Hilir, Kuala Lumpur",4800000.0,5,6,3,Condominium,"Built-up : 4,300 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur",3780000.0,5,5,4,Condominium,"Built-up : 3,628 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",850000.0,3,2,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1698800.0,2,2,1,Condominium,"Built-up : 1,227 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur",999000.0,5,4,2,Landed,"Built-up : 2,512 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur",3500000.0,1,1,1,Condominium,"Built-up : 1,648 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1500000.0,2,2,1,Condominium,"Built-up : 1,022 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2300000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1830000.0,4,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur",750000.0,4,3,3,Landed,Land area : 24 X 75 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",580000.0,5,2,2,Condominium,"Built-up : 1,550 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",2180000.0,5,4,3,Condominium,"Built-up : 3,000 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2030000.0,4,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",3450000.0,5,6,3,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur",4080000.0,5,5,2,Condominium,"Built-up : 3,713 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",2880000.0,5,3,4,Landed,Land area : 4244 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1799000.0,1,1,1,Condominium,Built-up : 720 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1820000.0,3,2,2,Condominium,"Built-up : 1,159 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1000000.0,4,3,2,Condominium,"Built-up : 1,313 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1650000.0,4,5,2,Condominium,"Built-up : 1,905 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2300000.0,1,1,2,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",2400000.0,5,5,3,Condominium,Land area : 2702 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2055000.0,2,1,1,Condominium,Built-up : 797 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1714000.0,1,1,1,Condominium,Built-up : 700 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2300000.0,4,4,3,Condominium,"Built-up : 3,282 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",920000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2300000.0,1,1,2,Condominium,"Built-up : 1,046 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",4995000.0,6,7,6,Luxury,Land area : 8113 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1630000.0,4,3,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1850000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1783000.0,2,2,1,Condominium,Built-up : 976 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",1180000.0,4,4,1,Condominium,"Built-up : 1,942 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur",1700000.0,3,2,1,Condominium,"Built-up : 1,442 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",3100000.0,5,6,3,Condominium,"Built-up : 3,400 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",630000.0,2,2,2,Condominium,Built-up : 791 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",2040000.0,6,5,4,Landed,Land area : 32 x 75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1780000.0,1,1,1,Condominium,Built-up : 728 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur",1050000.0,3,2,2,Condominium,"Built-up : 1,389 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",2600000.0,5,4,3,Condominium,"Built-up : 3,041 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",630000.0,2,1,1,Condominium,Built-up : 663 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",3364000.0,3,2,2,Condominium,"Built-up : 1,399 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",978000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2000000.0,1,1,1,Condominium,"Built-up : 1,087 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1630000.0,5,4,2,Condominium,"Built-up : 2,065 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1280000.0,4,3,3,Landed,Land area : 25x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1250000.0,2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur",630000.0,2,1,1,Condominium,Built-up : 650 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1350000.0,2,2,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur",490000.0,1,1,1,Condominium,Built-up : 500 sq. ft.,Fully Furnished
"Bangsar South, Kuala Lumpur",800000.0,2,2,1,Condominium,Built-up : 825 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",1035000.0,4,5,2,Condominium,"Built-up : 1,853 sq. ft.",Unknown
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 657 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur",448800.0,3,3,1,Condominium,"Built-up : 1,045 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",2480000.0,5,5,3,Condominium,"Built-up : 3,041 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur",2716000.0,4,4,2,Condominium,"Built-up : 2,227 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur",9500000.0,7,7,6,Luxury,Land area : 10000 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",500000.0,2,2,1,Condominium,Built-up : 715 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",13800000.0,6,7,3,Luxury,Land area : 7500 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur",2300000.0,4,3,2,Landed,Land area : 22x83 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",2480000.0,5,5,3,Condominium,"Built-up : 3,041 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur",3500000.0,3,3,1,Condominium,"Built-up : 1,560 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1380000.0,4,3,2,Landed,Land area : 24x75 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",3600000.0,4,4,2,Condominium,"Built-up : 3,897 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",1060000.0,5,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,3,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1850000.0,3,1,1,Condominium,"Built-up : 2,174 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur",668000.0,4,3,3,Condominium,"Built-up : 1,345 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1050000.0,4,3,2,Condominium,"Built-up : 1,313 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2998000.0,4,3,2,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2580000.0,4,3,2,Condominium,"Built-up : 2,809 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1100000.0,2,2,1,Condominium,Built-up : 880 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",3600000.0,5,3,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2900000.0,4,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",670000.0,3,2,2,Condominium,"Built-up : 1,085 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1350000.0,2,2,2,Condominium,"Built-up : 1,292 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2300000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1900000.0,2,2,1,Condominium,Built-up : 915 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1450000.0,2,2,2,Condominium,"Built-up : 1,090 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1300000.0,1,1,1,Condominium,Built-up : 925 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,3,4,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1630000.0,4,3,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",5350000.0,6,5,3,Luxury,Land area : 7200 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",1050000.0,5,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1200000.0,6,4,4,Condominium,"Built-up : 1,930 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",2251800.0,3,4,2,Condominium,"Built-up : 1,668 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",998000.0,6,5,4,Landed,Land area : 1650 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1550000.0,4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",780000.0,3,3,2,Condominium,"Built-up : 1,368 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1380000.0,2,2,2,Condominium,"Built-up : 1,292 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1798000.0,4,3,2,Landed,"Built-up : 2,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1268000.0,3,3,1,Condominium,"Built-up : 1,619 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2600000.0,4,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",4200000.0,4,4,2,Condominium,"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3330000.0,3,3,1,Condominium,"Built-up : 2,789 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2600000.0,2,2,1,Condominium,"Built-up : 1,184 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1950000.0,2,2,1,Condominium,"Built-up : 1,076 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",638000.0,4,2,4,Landed,Land area : 27x70 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1400000.0,2,2,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur",850000.0,4,3,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",6500000.0,6,5,4,Luxury,Land area : 7200 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1800000.0,4,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",3800000.0,5,5,4,Luxury,"Built-up : 4,067 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,5,5,2,Condominium,"Built-up : 3,897 sq. ft.",Unknown
"Segambut, Kuala Lumpur",635000.0,4,4,2,Condominium,"Built-up : 1,643 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",5070000.0,4,4,3,Condominium,"Built-up : 2,142 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",1207000.0,0,1,1,Condominium,Built-up : 685 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur",1177000.0,2,1,1,Condominium,Built-up : 717 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur",700000.0,3,2,2,Condominium,"Built-up : 1,152 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",3785400.0,6,5,3,Condominium,"Built-up : 3,907 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1300000.0,2,2,2,Condominium,Built-up : 871 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur",960000.0,4,4,2,Condominium,"Built-up : 1,488 sq. ft.",Unfurnished
"KL City, Kuala Lumpur",490000.0,4,2,2,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",4200000.0,6,5,3,Condominium,"Built-up : 3,709 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1450000.0,2,1,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",2380000.0,5,4,3,Condominium,"Built-up : 2,454 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",1210000.0,6,6,4,Landed,"Built-up : 3,400 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",4995000.0,6,7,6,Luxury,Land area : 8113 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1900000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2700000.0,2,2,2,Condominium,"Built-up : 1,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",6300000.0,4,4,2,Condominium,"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1900000.0,3,2,1,Condominium,Built-up : 915 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",3000000.0,5,5,3,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2000000.0,3,2,1,Condominium,"Built-up : 1,350 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",6380000.0,4,4,2,Condominium,"Built-up : 2,195 sq. ft.",Partly Furnished
"Batu Caves, Kuala Lumpur",676775.0,4,3,4,Condominium,"Built-up : 1,265 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1830000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur",1750000.0,3,3,1,Condominium,"Built-up : 1,442 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1780000.0,4,3,2,Landed,"Built-up : 2,400 sq. ft.",Fully Furnished
